Season,GROUP_NAME,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED,Category,POSS,OFF_RATING,DEF_RATING,NET_RATING,PACE,PTS_per100,AST_per100,REB_per100,STL_per100,BLK_per100,TOV_per100,OREB_per100,DREB_per100,FGM_per100,FGA_per100,FG3M_per100,FG3A_per100,EFG_PCT,TM_TOV_PCT,OREB_PCT,FTA_RATE,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_3PT,PCT_PTS_FT,PCT_AST_FGM,Lineup_BPM_OOF,Lineup_BPM_Final,Lineup_BPM_Final_Demeaned,Lineup_BPM_OOF_Demeaned
2024-25,K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,NYK,18,10,8,0.556,334.615,269,599,0.449,68,213,0.319,134,164,0.817,69,207,276,145,90.0,50,36,50,139,148,740,-31.0,3,7,1208,483,1,2,1,539,3,2,477,1,1,350,1,3,1,3,1210,2,2,1210,1210,1,2,1209,1003845,Traditional,681,108.7,114.9,-6.2,96.97,108.66372980910425,21.292217327459618,40.52863436123348,7.342143906020558,5.286343612334802,13.215859030837004,10.13215859030837,30.396475770925107,39.500734214390604,87.95888399412628,9.985315712187958,31.277533039647576,0.506,0.132,0.279,0.274,94.0,103.0,87.0,334.0,0.644,0.356,0.543,0.276,0.181,0.539,2.6092062190200473,-5.534573779022165,-9.688297002193057,-2.544993673380412
2024-25,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,23,15,8,0.652,332.775,293,593,0.494,103,245,0.42,129,159,0.811,50,223,273,208,77.0,54,48,37,136,142,818,89.0,1,1,1208,448,2,1,2,484,1,1,315,2,2,353,3,1,2,1,1209,1,1,1208,1209,2,1,1,998325,Traditional,680,120.3,106.9,13.4,98.23,120.29411764705881,30.58823529411765,40.14705882352941,7.941176470588235,7.0588235294117645,11.323529411764707,7.352941176470589,32.794117647058826,43.08823529411765,87.20588235294117,15.147058823529411,36.029411764705884,0.581,0.113,0.232,0.268,122.0,70.0,118.0,274.0,0.587,0.413,0.465,0.378,0.158,0.71,8.650901270786033,12.136415887828615,7.982692664657724,3.4967013783855734
2024-25,A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,14,7,7,0.5,282.175,252,512,0.492,77,205,0.376,97,123,0.789,63,209,272,149,74.0,43,21,42,96,120,678,74.0,9,16,1205,489,3,3,3,486,2,3,357,3,3,373,2,2,3,2,1208,3,4,1209,1208,3,3,2,846525,Traditional,568,119.4,108.1,11.3,95.86,119.36619718309859,26.23239436619718,47.88732394366197,7.570422535211267,3.697183098591549,13.028169014084506,11.091549295774648,36.79577464788733,44.36619718309859,90.14084507042254,13.556338028169016,36.09154929577465,0.567,0.13,0.319,0.24,71.0,95.0,82.0,292.0,0.6,0.4,0.516,0.341,0.143,0.591,6.988704769308445,14.975097923841599,10.821374700670706,1.8345048769079852
2024-25,I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams,OKC,20,15,5,0.75,197.775,182,386,0.472,30,120,0.25,59,68,0.868,50,146,196,100,39.0,25,36,22,74,73,453,9.0,2,1,1191,378,4,4,4,505,5,5,503,5,6,319,3,4,4,4,1206,5,2,1207,1207,4,4,62,593325,Traditional,404,112.1,107.2,4.9,99.26,112.12871287128714,24.752475247524753,48.51485148514851,6.188118811881188,8.91089108910891,9.653465346534654,12.376237623762377,36.13861386138614,45.04950495049505,95.54455445544554,7.425742574257425,29.7029702970297,0.51,0.097,0.28,0.176,57.0,58.0,43.0,256.0,0.689,0.311,0.671,0.199,0.13,0.549,3.5866882214809026,4.560745423521219,0.407022200350327,-1.567511670919557
2024-25,M. Conley - R. Gobert - J. Randle - A. Edwards - J. McDaniels,MIN,15,9,6,0.6,185.93,153,336,0.455,56,149,0.376,57,73,0.781,50,137,187,87,51.0,24,15,11,58,69,419,66.0,8,8,1201,463,5,5,5,526,4,4,356,6,5,380,3,5,5,5,1207,6,5,1200,1206,5,5,3,557790,Traditional,359,116.7,99.7,17.0,92.03,116.71309192200556,24.233983286908078,52.089136490250695,6.685236768802229,4.178272980501393,14.206128133704734,13.92757660167131,38.16155988857939,42.618384401114206,93.59331476323119,15.598885793871867,41.5041782729805,0.539,0.142,0.358,0.217,61.0,66.0,55.0,178.0,0.557,0.443,0.463,0.401,0.136,0.569,6.492588928522999,14.278117583411941,10.124394360241048,1.33838903612254
2024-25,J. Harden - K. Leonard - N. Powell - K. Dunn - I. Zubac,LAC,6,3,3,0.5,110.251667,91,185,0.492,23,65,0.354,25,34,0.735,24,62,86,56,25.0,17,12,8,41,33,230,-18.0,54,79,1099,489,6,7,6,487,11,8,379,14,13,428,8,10,10,6,1202,8,8,1196,1203,12,9,1198,330755,Traditional,207,111.1,122.2,-11.1,89.25,111.11111111111111,27.053140096618357,41.54589371980676,8.212560386473431,5.797101449275362,12.077294685990339,11.594202898550725,29.951690821256037,43.96135265700483,89.3719806763285,11.11111111111111,31.40096618357488,0.554,0.121,0.267,0.184,27.0,27.0,40.0,118.0,0.649,0.351,0.591,0.3,0.109,0.615,4.719355790369272,-2.048445617963206,-6.202168841134098,-0.43484410203118706
2024-25,F. VanVleet - D. Brooks - J. Green - A. Sengun - A. Thompson,HOU,7,3,4,0.429,105.05,93,185,0.503,24,61,0.393,36,46,0.783,22,81,103,54,23.0,10,11,11,41,39,246,20.0,44,79,1156,641,7,6,6,327,9,11,352,9,9,379,10,6,7,7,1197,12,10,1200,1203,8,6,12,315150,Traditional,204,120.6,110.2,10.3,93.44,120.58823529411764,26.47058823529412,50.49019607843137,4.901960784313726,5.392156862745098,11.27450980392157,10.784313725490197,39.705882352941174,45.588235294117645,90.68627450980392,11.76470588235294,29.901960784313726,0.568,0.113,0.305,0.249,36.0,32.0,31.0,124.0,0.67,0.33,0.561,0.293,0.146,0.581,6.8258343961718575,14.35118390494235,10.197460681771457,1.671634503771398
2024-25,R. Westbrook - A. Gordon - N. Jokić - J. Murray - C. Braun,DEN,13,6,7,0.462,101.395,85,179,0.475,28,73,0.384,48,64,0.75,25,79,104,46,25.0,13,9,20,39,50,246,11.0,13,26,1205,637,8,8,8,499,6,6,354,7,7,388,7,7,6,9,1202,10,14,1206,1202,7,6,44,304185,Traditional,216,113.9,112.4,1.4,100.6,113.88888888888889,21.296296296296298,48.148148148148145,6.018518518518518,4.166666666666666,11.574074074074074,11.574074074074074,36.574074074074076,39.351851851851855,82.87037037037037,12.962962962962962,33.7962962962963,0.553,0.116,0.363,0.358,30.0,31.0,37.0,100.0,0.592,0.408,0.463,0.341,0.195,0.541,6.356948146430849,12.623784805147853,8.47006158197696,1.2027482540303893
2024-25,A. Caruso - S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams,OKC,18,14,4,0.778,100.291667,74,173,0.428,22,61,0.361,67,90,0.744,19,43,62,32,24.0,34,11,15,42,60,237,-2.0,3,3,1156,377,9,9,10,584,12,11,377,4,4,426,13,15,15,17,1201,4,10,1205,1205,6,8,762,300875,Traditional,224,105.8,113.3,-7.5,104.1,105.80357142857142,14.285714285714285,27.67857142857143,15.178571428571427,4.910714285714286,10.714285714285714,8.482142857142858,19.196428571428573,33.035714285714285,77.23214285714286,9.821428571428571,27.232142857142854,0.491,0.107,0.264,0.52,56.0,25.0,27.0,86.0,0.647,0.353,0.439,0.278,0.283,0.432,2.9289813919321808,-4.091763186108984,-8.245486409279875,-2.2252185004682787
2024-25,C. Joseph - K. Caldwell-Pope - W. Carter Jr. - F. Wagner - P. Banchero,ORL,5,1,4,0.2,96.65,71,179,0.397,16,63,0.254,28,40,0.7,23,67,90,40,23.0,19,7,13,37,34,186,-2.0,76,266,1156,719,10,10,8,644,19,10,502,12,11,440,9,9,9,11,1197,7,17,1203,1201,11,11,762,289950,Traditional,188,98.9,101.6,-2.7,92.62,98.93617021276596,21.27659574468085,47.87234042553192,10.106382978723403,3.723404255319149,12.23404255319149,12.23404255319149,35.638297872340424,37.765957446808514,95.2127659574468,8.51063829787234,33.51063829787234,0.441,0.122,0.295,0.223,34.0,32.0,34.0,78.0,0.648,0.352,0.591,0.258,0.151,0.563,0.9262347724374971,-0.35868430639597815,-4.51240752956687,-4.227965119962962
2024-25,L. James - D. Finney-Smith - L. Dončić - R. Hachimura - A. Reaves,LAL,5,1,4,0.2,86.318333,62,139,0.446,24,69,0.348,24,28,0.857,18,51,69,41,27.0,10,10,10,36,33,172,-19.0,76,266,1156,719,11,14,12,542,9,7,382,15,19,320,15,12,12,10,1204,12,12,1198,1200,12,14,1200,258955,Traditional,163,105.5,116.5,-10.9,90.92,105.52147239263803,25.153374233128833,42.331288343558285,6.134969325153374,6.134969325153374,16.56441717791411,11.042944785276074,31.28834355828221,38.036809815950924,85.2760736196319,14.723926380368098,42.331288343558285,0.532,0.166,0.278,0.201,16.0,32.0,12.0,62.0,0.504,0.496,0.442,0.419,0.14,0.661,4.338108118227211,-5.7099767065945395,-9.863699929765431,-0.8160917741732483
2024-25,T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,DET,6,2,4,0.333,83.33,68,153,0.444,11,44,0.25,38,48,0.792,27,72,99,35,28.0,7,14,13,35,38,185,24.0,54,130,1156,660,12,12,11,543,26,20,503,8,8,372,6,8,8,14,1205,29,6,1203,1199,9,12,6,249990,Traditional,166,111.4,95.8,15.6,96.2,111.44578313253012,21.084337349397593,59.63855421686747,4.216867469879518,8.433734939759036,16.867469879518072,16.265060240963855,43.373493975903614,40.963855421686745,92.16867469879519,6.626506024096386,26.506024096385545,0.48,0.169,0.409,0.314,14.0,40.0,28.0,100.0,0.712,0.288,0.616,0.178,0.205,0.515,1.7995435256745616,11.093118854866859,6.939395631695967,-3.354656366725898
2024-25,S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams - C. Wallace,OKC,13,11,2,0.846,72.163333,70,137,0.511,22,50,0.44,27,32,0.844,19,50,69,37,17.0,11,14,8,27,33,189,41.0,13,4,928,365,13,11,13,324,12,16,301,13,16,332,13,13,12,13,1190,11,6,1196,1193,12,10,4,216490,Traditional,152,124.3,95.5,28.9,102.1,124.3421052631579,24.342105263157894,45.39473684210527,7.236842105263158,9.210526315789473,11.18421052631579,12.5,32.89473684210527,46.05263157894737,90.13157894736842,14.473684210526317,32.89473684210527,0.591,0.112,0.368,0.234,30.0,19.0,12.0,78.0,0.635,0.365,0.508,0.349,0.143,0.529,8.36338139830019,15.706548848506646,11.552825625335753,3.20918150589973
2024-25,A. Caruso - I. Hartenstein - A. Wiggins - J. Williams - C. Wallace,OKC,16,11,5,0.688,67.385,67,132,0.508,17,35,0.486,22,33,0.667,20,40,60,47,16.0,17,4,11,34,31,173,21.0,6,4,1191,400,14,13,14,326,17,24,284,18,15,448,11,18,16,8,1188,8,29,1200,1197,15,13,11,202155,Traditional,141,122.7,108.6,14.1,100.08,122.69503546099291,33.33333333333333,42.5531914893617,12.056737588652481,2.8368794326241136,11.347517730496454,14.184397163120568,28.368794326241137,47.5177304964539,93.61702127659575,12.056737588652481,24.822695035460992,0.572,0.113,0.386,0.25,37.0,29.0,32.0,90.0,0.735,0.265,0.578,0.295,0.127,0.701,7.422187741384219,11.003755578966835,6.8500323557959435,2.2679878489837595
2024-25,M. Turner - A. Nembhard - O. Toppin - T. Haliburton - A. Nesmith,IND,16,11,5,0.688,65.3,57,116,0.491,25,54,0.463,21,26,0.808,11,39,50,35,15.0,4,12,4,34,28,160,-7.0,6,4,1191,400,15,17,17,488,8,14,285,20,22,354,24,20,22,14,1184,50,8,1173,1197,18,16,1100,195900,Traditional,133,120.3,125.6,-5.3,97.76,120.30075187969925,26.31578947368421,37.59398496240601,3.007518796992481,9.022556390977442,11.278195488721805,8.270676691729323,29.32330827067669,42.857142857142854,87.21804511278195,18.796992481203006,40.6015037593985,0.599,0.113,0.246,0.224,14.0,28.0,5.0,54.0,0.534,0.466,0.4,0.469,0.131,0.614,8.58983302674807,-0.2531255343968608,-4.406848757567753,3.4356331343476096
2024-25,K. Towns - O. Anunoby - M. Bridges - J. Brunson - M. Robinson,NYK,6,4,2,0.667,64.95,58,120,0.483,11,34,0.324,22,28,0.786,20,44,64,26,23.0,9,10,4,23,26,149,-6.0,54,50,928,402,16,15,16,493,26,25,476,18,19,374,11,14,14,23,1197,17,12,1173,1191,20,17,1074,194850,Traditional,130,114.6,118.3,-3.7,96.44,114.61538461538461,20.0,49.23076923076923,6.923076923076923,7.6923076923076925,17.692307692307693,15.384615384615385,33.84615384615385,44.61538461538462,92.3076923076923,8.461538461538462,26.153846153846157,0.529,0.177,0.431,0.233,16.0,27.0,9.0,78.0,0.717,0.283,0.631,0.221,0.148,0.448,2.2470191761175853,2.6577787626678715,-1.4959444605030203,-2.9071807162828742
2024-25,S. Curry - J. Butler III - D. Green - B. Hield - B. Podziemski,GSW,6,3,3,0.5,64.531667,58,122,0.475,27,65,0.415,19,21,0.905,9,43,52,40,12.0,9,9,5,22,25,162,20.0,54,79,1099,489,17,15,15,498,7,8,321,23,25,304,33,15,20,11,1180,17,14,1184,1189,21,15,12,193595,Traditional,132,122.7,109.2,13.5,97.44,122.72727272727273,30.303030303030305,39.39393939393939,6.8181818181818175,6.8181818181818175,9.090909090909092,6.8181818181818175,32.57575757575758,43.93939393939394,92.42424242424242,20.454545454545457,49.24242424242424,0.586,0.091,0.234,0.172,23.0,8.0,24.0,48.0,0.467,0.533,0.383,0.5,0.117,0.69,10.619384463187192,14.754125183349835,10.600401960178942,5.465184570786732
2024-25,J. Randle - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,MIN,14,8,6,0.571,64.216667,49,116,0.422,16,49,0.327,33,42,0.786,11,34,45,30,23.0,9,8,3,27,31,147,-24.0,9,13,1201,480,18,18,17,585,19,17,475,10,10,374,24,24,25,18,1197,17,16,1146,1193,15,18,1208,192650,Traditional,144,102.1,119.6,-17.5,107.26,102.08333333333333,20.833333333333336,31.25,6.25,5.555555555555555,15.972222222222221,7.638888888888889,23.61111111111111,34.02777777777778,80.55555555555556,11.11111111111111,34.02777777777778,0.491,0.16,0.304,0.362,26.0,15.0,11.0,64.0,0.578,0.422,0.449,0.327,0.224,0.612,1.3466263260094085,-19.17302509500853,-23.326748318179423,-3.807573566391051
2024-25,G. Antetokounmpo - B. Portis - G. Trent Jr. - K. Porter Jr. - A. Green,MIL,5,1,4,0.2,64.016667,49,109,0.45,21,51,0.412,16,27,0.593,13,57,70,29,15.0,5,5,5,27,24,135,4.0,76,266,1156,719,19,18,19,538,14,15,322,25,21,496,22,11,11,19,1184,43,22,1184,1193,22,21,170,192050,Traditional,127,106.3,100.0,6.3,96.72,106.29921259842521,22.83464566929134,55.118110236220474,3.937007874015748,3.937007874015748,11.811023622047244,10.236220472440944,44.881889763779526,38.582677165354326,85.8267716535433,16.535433070866144,40.15748031496063,0.546,0.118,0.239,0.248,10.0,13.0,11.0,50.0,0.532,0.468,0.415,0.467,0.119,0.592,6.929654443493772,13.25017466731282,9.096451444141927,1.7754545510933122
2024-25,O. Anunoby - J. Hart - M. Bridges - J. Brunson - M. Robinson,NYK,17,9,8,0.529,61.401667,45,100,0.45,16,39,0.41,23,39,0.59,11,38,49,20,18.0,10,2,2,28,36,129,-18.0,5,8,1208,488,20,23,22,536,19,23,323,17,12,497,24,22,23,26,1192,12,73,1074,1196,10,22,1198,184205,Traditional,132,97.7,108.9,-11.2,104.36,97.72727272727273,15.151515151515152,37.121212121212125,7.575757575757576,1.5151515151515151,13.636363636363635,8.333333333333332,28.78787878787879,34.090909090909086,75.75757575757575,12.121212121212121,29.545454545454547,0.53,0.136,0.262,0.39,22.0,7.0,19.0,50.0,0.61,0.39,0.45,0.372,0.178,0.444,2.2840580295471042,-12.29294946206944,-16.446672685240333,-2.8701418628533553
2024-25,A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,BOS,5,2,3,0.4,60.721667,41,107,0.383,20,57,0.351,16,18,0.889,15,43,58,28,19.0,9,6,5,19,18,118,8.0,76,130,1099,646,21,24,21,662,15,13,380,25,29,306,20,15,17,21,1193,17,19,1184,1184,25,24,71,182165,Traditional,118,100.0,92.4,7.6,93.67,100.0,23.728813559322035,49.152542372881356,7.627118644067797,5.084745762711865,16.101694915254235,12.711864406779661,36.440677966101696,34.74576271186441,90.67796610169492,16.94915254237288,48.30508474576271,0.477,0.161,0.284,0.168,27.0,14.0,19.0,40.0,0.467,0.533,0.356,0.508,0.136,0.683,4.1478022247816275,-0.10851422065230487,-4.262237443823197,-1.006397667618832
2024-25,D. Mitchell - J. Allen - M. Strus - D. Garland - E. Mobley,CLE,5,3,2,0.6,60.355,49,108,0.454,18,49,0.367,24,29,0.828,17,40,57,29,19.0,10,5,6,19,24,140,1.0,76,79,928,463,22,18,20,535,16,17,371,15,18,347,16,18,18,19,1193,12,22,1191,1184,22,19,376,181065,Traditional,125,112.0,116.8,-4.8,97.03,112.00000000000001,23.200000000000003,45.6,8.0,4.0,15.2,13.600000000000001,32.0,39.2,86.4,14.399999999999999,39.2,0.537,0.152,0.333,0.269,14.0,21.0,16.0,60.0,0.546,0.454,0.443,0.386,0.171,0.592,5.228133875370964,3.8925621371098433,-0.2611610860610485,0.07393398297050435
2024-25,J. Randle - D. DiVincenzo - N. Reid - A. Edwards - J. McDaniels,MIN,14,9,5,0.643,58.233333,47,94,0.5,15,43,0.349,29,34,0.853,13,39,52,28,20.0,7,4,4,24,30,138,30.0,9,8,1191,449,23,21,24,328,22,21,381,11,13,330,22,20,20,21,1195,29,29,1173,1192,17,20,5,174700,Traditional,117,117.9,95.6,22.4,94.79,117.94871794871796,23.931623931623932,44.44444444444444,5.982905982905983,3.418803418803419,17.094017094017094,11.11111111111111,33.33333333333333,40.17094017094017,80.34188034188034,12.82051282051282,36.75213675213676,0.58,0.171,0.34,0.362,31.0,17.0,16.0,62.0,0.543,0.457,0.464,0.326,0.21,0.596,5.990909335851906,8.091695893938255,3.937972670767363,0.8367094434514462
2024-25,R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,MIN,13,8,5,0.615,53.698333,46,100,0.46,17,46,0.37,14,19,0.737,17,37,54,34,22.0,8,4,3,19,20,123,4.0,13,13,1191,462,24,22,22,524,17,19,369,30,28,427,16,23,19,16,1196,24,29,1146,1184,24,23,170,161095,Traditional,116,106.0,106.3,-0.2,101.9,106.03448275862068,29.310344827586203,46.55172413793103,6.896551724137931,3.4482758620689653,18.96551724137931,14.655172413793101,31.896551724137932,39.6551724137931,86.20689655172413,14.655172413793101,39.6551724137931,0.545,0.19,0.368,0.19,23.0,17.0,13.0,54.0,0.54,0.46,0.472,0.415,0.114,0.739,4.308711826457136,-4.11469019109913,-8.268413414270022,-0.8454880659433233
2023-24,A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,BOS,19,16,3,0.842,304.806667,259,541,0.479,98,270,0.363,104,122,0.852,58,213,271,183,76.0,50,37,17,110,121,720,82.0,3,1,1021,294,1,2,1,463,1,1,332,1,1,275,2,1,1,1,1108,1,1,1102,1107,1,1,1,914420,Traditional,617,116.7,105.1,11.6,96.38,116.69367909238248,29.65964343598055,43.92220421393841,8.103727714748784,5.9967585089141,12.317666126418152,9.40032414910859,34.52188006482982,41.9773095623987,87.68233387358185,15.883306320907616,43.76012965964344,0.569,0.123,0.278,0.226,109.0,71.0,73.0,288.0,0.501,0.499,0.447,0.408,0.144,0.707,7.358429276618113,15.003620724175356,9.265319906465901,1.6049779776029895
2023-24,M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,15,8,7,0.533,287.75,275,516,0.533,94,216,0.435,66,97,0.68,55,186,241,178,56.0,27,27,20,110,98,710,73.0,5,8,1103,408,2,1,2,301,2,2,273,4,2,384,3,2,3,2,1105,3,3,1104,1107,3,2,2,863250,Traditional,552,128.6,114.6,14.1,92.41,128.6231884057971,32.2463768115942,43.65942028985507,4.891304347826087,4.891304347826087,10.144927536231885,9.96376811594203,33.69565217391305,49.81884057971014,93.47826086956522,17.02898550724638,39.130434782608695,0.624,0.101,0.278,0.188,77.0,80.0,65.0,270.0,0.581,0.419,0.51,0.397,0.093,0.647,9.818306258608693,14.723556510225421,8.985255692515967,4.0648549595935695
2023-24,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,DEN,12,7,5,0.583,274.178333,240,510,0.471,61,183,0.333,65,77,0.844,63,180,243,155,67.0,33,21,28,86,101,606,-33.0,8,13,1095,396,3,3,3,470,3,3,340,5,6,279,1,3,2,3,1107,2,5,1108,1105,2,3,1107,822535,Traditional,546,111.0,117.0,-6.0,95.59,110.98901098901099,28.388278388278387,44.505494505494504,6.043956043956044,3.8461538461538463,12.27106227106227,11.538461538461538,32.967032967032964,43.956043956043956,93.4065934065934,11.172161172161173,33.51648351648351,0.53,0.123,0.267,0.151,69.0,81.0,84.0,308.0,0.641,0.359,0.591,0.302,0.107,0.646,4.382808062785282,-4.497319528215052,-10.235620345924506,-1.3706432362298422
2023-24,K. Irving - D. Jones Jr. - P. Washington - L. Doncic - D. Gafford,DAL,22,13,9,0.591,236.461667,196,406,0.483,42,140,0.3,67,89,0.753,53,154,207,108,66.0,26,33,24,90,80,501,-5.0,1,2,1108,394,4,4,4,459,5,4,417,3,4,328,4,5,4,4,1106,5,2,1106,1106,5,4,925,709385,Traditional,457,109.6,110.5,-0.9,92.87,109.62800875273524,23.63238512035011,45.29540481400438,5.689277899343545,7.2210065645514225,14.442013129102845,11.597374179431071,33.69803063457331,42.88840262582057,88.8402625820569,9.190371991247265,30.63457330415755,0.534,0.144,0.332,0.219,68.0,72.0,53.0,264.0,0.655,0.345,0.615,0.251,0.134,0.551,3.496669290552998,-0.9233716294462289,-6.661672447155683,-2.256782008462126
